id_driver,active_date,offers,bookings,bookings_cancelled_by_passenger,bookings_cancelled_by_driver,rides
177,2020-06-05,8,1,1,0,0
186,2020-01-16,11,3,0,0,3
186,2020-05-13,8,6,0,0,6
197,2020-01-29,45,1,0,0,1
197,2020-02-27,4,1,0,0,1
197,2020-03-19,4,2,0,1,1
197,2020-04-02,9,1,0,0,1
251,2020-01-30,39,3,1,0,2
251,2020-02-03,92,5,0,0,5
251,2020-06-09,5,3,0,0,3
272,2020-01-24,2,1,0,0,1
272,2020-02-24,3,1,0,0,1
272,2020-06-06,12,4,0,0,4
272,2020-06-15,4,3,0,0,3
283,2020-01-27,8,6,0,0,6
283,2020-02-15,3,3,0,0,3
283,2020-05-12,1,1,0,0,1
285,2020-03-17,3,1,0,1,0
285,2020-05-16,41,9,0,2,7
295,2020-01-13,44,3,0,0,3
295,2020-03-04,8,1,0,0,1
299,2020-01-26,2,1,0,0,1
299,2020-06-08,4,2,0,0,2
299,2020-06-18,9,6,0,0,6
309,2020-01-04,1,3,0,0,3
317,2020-01-18,20,10,1,0,9
317,2020-02-18,14,10,1,0,9
317,2020-03-21,6,5,0,0,5
317,2020-03-28,20,13,0,0,13
317,2020-04-12,45,22,7,0,15
317,2020-05-04,5,4,1,0,3
317,2020-05-13,5,2,0,0,2
317,2020-06-19,23,8,1,1,6
318,2020-01-14,24,9,0,0,9
318,2020-02-18,16,9,1,0,8
318,2020-02-28,22,14,2,3,9
318,2020-03-03,6,2,0,0,2
318,2020-03-04,3,1,0,0,1
318,2020-06-24,2,2,0,1,1
323,2020-01-24,7,2,1,0,1
323,2020-01-28,2,1,0,0,1
323,2020-02-29,10,4,0,0,4
323,2020-03-08,8,5,1,0,4
323,2020-06-14,2,1,0,0,1
323,2020-06-15,6,1,0,1,0
325,2020-02-11,10,2,0,0,2
326,2020-01-24,4,3,1,0,2
326,2020-02-04,5,3,0,0,3
326,2020-02-26,2,1,0,0,1
326,2020-03-09,5,1,0,0,1
327,2020-05-19,7,3,0,0,3
327,2020-05-20,7,3,0,0,3
327,2020-05-26,10,3,0,0,3
327,2020-06-04,4,2,0,0,2
329,2020-02-08,12,4,0,1,3
329,2020-02-26,14,5,1,0,4
332,2020-03-17,3,1,0,0,1
332,2020-04-14,1,1,0,0,1
332,2020-04-30,14,2,0,0,2
332,2020-05-25,5,1,0,0,1
335,2020-03-07,8,1,0,0,1
340,2020-01-13,127,2,0,1,1
340,2020-02-11,10,1,0,0,1
342,2020-01-08,8,1,0,0,1
342,2020-01-16,9,6,1,2,3
342,2020-01-21,12,2,0,0,2
345,2020-02-06,15,6,0,0,6
345,2020-04-17,6,1,0,0,1
346,2020-01-19,9,7,1,0,6
346,2020-02-13,10,5,0,0,5
346,2020-02-23,131,10,2,1,7
346,2020-03-11,1,1,0,0,1
346,2020-03-14,5,4,1,1,2
346,2020-04-29,2,1,0,0,1
346,2020-04-30,5,5,0,0,5
346,2020-05-18,3,3,0,0,3
346,2020-06-09,1,1,0,0,1
346,2020-06-10,4,1,0,0,1
346,2020-06-27,6,3,1,0,2
356,2020-02-28,36,8,3,0,5
356,2020-04-05,2,2,0,0,2
356,2020-04-25,13,8,1,2,5
356,2020-04-28,4,1,0,0,1
356,2020-05-04,9,6,0,1,5
362,2020-01-30,12,9,0,0,9
362,2020-02-07,24,5,0,0,5
362,2020-02-08,3,5,0,1,4
362,2020-06-10,7,1,0,0,1
364,2020-01-16,7,5,0,0,5
366,2020-01-17,7,1,1,0,0
371,2020-01-19,23,2,0,0,2
371,2020-02-01,8,2,0,0,2
371,2020-03-06,14,3,0,1,2
371,2020-06-18,1,1,1,0,0
374,2020-02-02,13,1,0,0,1
374,2020-02-14,12,6,1,1,4
374,2020-02-26,5,2,0,0,2
374,2020-02-29,16,9,0,0,9
374,2020-06-29,29,13,0,0,13
384,2020-02-20,7,2,0,1,1
386,2020-01-19,1,1,0,0,1
387,2020-01-18,12,3,0,1,2
387,2020-02-02,9,3,0,0,3
389,2020-02-29,28,14,1,1,12
389,2020-04-24,13,4,1,0,3
389,2020-04-25,13,6,0,0,6
389,2020-05-23,5,13,5,3,5
399,2020-02-09,11,7,0,0,7
399,2020-03-18,2,2,0,0,2
399,2020-05-10,10,3,0,0,3
399,2020-05-13,6,5,1,1,3
399,2020-06-24,6,4,0,0,4
419,2020-03-03,10,1,0,0,1
422,2020-03-20,10,5,0,0,5
422,2020-03-30,6,2,1,0,1
422,2020-04-02,5,2,0,0,2
422,2020-04-04,5,5,0,0,5
422,2020-04-10,14,4,2,0,2
422,2020-04-13,8,4,0,0,4
422,2020-05-19,12,6,1,0,5
427,2020-02-26,9,4,0,0,4
429,2020-01-17,4,3,0,0,3
429,2020-02-29,19,5,1,1,3
429,2020-03-08,5,1,0,0,1
429,2020-05-20,4,3,0,0,3
438,2020-02-12,12,1,0,0,1
440,2020-01-06,5,4,1,1,2
440,2020-01-27,8,5,1,0,4
440,2020-01-29,8,4,0,0,4
440,2020-02-03,46,10,1,1,8
440,2020-02-13,27,6,0,0,6
440,2020-04-10,0,1,0,0,1
440,2020-04-23,2,1,0,0,1
440,2020-04-27,5,4,1,1,2
440,2020-05-07,4,2,0,0,2
440,2020-05-10,3,1,0,0,1
440,2020-06-29,18,7,2,1,4
460,2020-01-13,9,5,2,0,3
460,2020-01-26,8,7,0,1,6
460,2020-01-27,2,2,1,0,1
460,2020-01-31,7,4,0,0,4
460,2020-05-17,10,7,0,0,7
460,2020-05-30,11,10,2,0,8
460,2020-06-14,13,9,0,1,8
460,2020-06-25,5,5,1,1,3
460,2020-06-28,29,8,0,2,6
467,2020-02-27,9,4,0,0,4
469,2020-02-09,4,1,0,0,1
473,2020-03-04,3,3,0,0,3
473,2020-03-15,6,6,0,0,6
474,2020-06-25,1,1,0,0,1
480,2020-02-25,6,2,0,0,2
487,2020-02-11,8,1,0,0,1
504,2020-02-21,43,2,0,0,2
504,2020-03-12,9,3,0,1,2
504,2020-03-14,10,6,1,1,4
504,2020-05-13,12,3,0,0,3
511,2020-03-05,4,1,0,0,1
515,2020-05-24,19,10,1,0,9
517,2020-02-21,123,5,0,2,3
517,2020-03-07,13,3,1,0,2
522,2020-01-13,3,2,1,0,1
523,2020-02-02,50,11,1,3,7
523,2020-02-27,12,4,2,1,1
523,2020-03-11,1,1,0,0,1
528,2020-01-01,66,8,0,0,8
535,2020-01-05,6,2,0,0,2
535,2020-02-08,4,2,0,0,2
535,2020-02-15,8,6,0,0,6
535,2020-02-19,5,5,0,1,4
535,2020-02-25,9,3,1,0,2
535,2020-03-04,5,2,0,0,2
535,2020-06-27,2,3,0,0,3
538,2020-02-05,16,14,2,1,11
538,2020-02-27,13,8,0,0,8
538,2020-05-04,2,2,0,0,2
538,2020-06-06,5,2,0,0,2
538,2020-06-19,4,2,0,0,2
556,2020-02-19,2,2,0,0,2
556,2020-02-24,3,2,1,0,1
561,2020-05-29,2,1,0,0,1
576,2020-01-02,3,2,0,0,2
577,2020-02-22,9,7,1,1,5
579,2020-03-03,8,4,0,0,4
579,2020-03-18,4,3,0,0,3
579,2020-06-06,1,1,0,0,1
584,2020-03-02,1,1,0,0,1
588,2020-04-05,4,2,0,0,2
588,2020-05-03,4,1,0,0,1
588,2020-06-14,5,1,0,0,1
602,2020-02-21,6,1,0,0,1
602,2020-02-24,7,3,0,0,3
602,2020-03-24,1,1,0,0,1
602,2020-05-04,4,2,0,0,2
602,2020-05-12,2,2,0,0,2
607,2020-02-18,3,2,0,0,2
608,2020-01-02,5,3,1,0,2
608,2020-01-04,4,4,0,0,4
608,2020-02-08,11,10,0,2,8
608,2020-02-26,4,2,0,0,2
608,2020-02-27,17,13,2,0,11
617,2020-01-18,12,4,1,0,3
617,2020-02-14,18,4,0,0,4
617,2020-02-16,21,10,0,0,10
617,2020-02-18,15,6,1,0,5
617,2020-02-23,52,8,2,0,6
617,2020-04-25,27,11,4,1,6
617,2020-05-11,2,1,0,0,1
617,2020-05-23,36,10,0,1,9
617,2020-06-19,12,7,0,0,7
618,2020-02-26,11,5,0,0,5
618,2020-03-12,3,2,0,0,2
619,2020-02-20,8,5,0,0,5
623,2020-02-27,7,3,0,0,3
623,2020-04-29,4,2,0,0,2
629,2020-02-27,6,2,0,0,2
629,2020-06-16,3,2,0,0,2
636,2020-02-13,10,11,2,1,8
636,2020-02-14,8,4,0,1,3
646,2020-03-12,5,3,1,0,2
646,2020-06-25,11,1,0,0,1
649,2020-02-22,5,1,0,0,1
661,2020-01-16,6,3,1,0,2
661,2020-02-02,23,12,1,4,7
661,2020-03-06,13,7,0,1,6
664,2020-03-23,2,2,1,0,1
664,2020-03-30,5,2,0,0,2
674,2020-01-07,5,1,0,0,1
674,2020-01-22,8,1,0,0,1
674,2020-01-28,11,3,1,0,2
674,2020-02-03,45,6,0,0,6
674,2020-02-16,26,2,0,0,2
674,2020-02-22,370,3,0,2,1
674,2020-03-11,10,3,0,1,2
674,2020-05-23,2,2,0,0,2
674,2020-06-20,8,2,0,0,2
676,2020-02-03,21,7,2,0,5
676,2020-02-07,11,2,1,0,1
676,2020-02-10,18,6,0,0,6
676,2020-02-12,12,7,1,0,6
676,2020-02-22,112,15,2,1,12
676,2020-02-24,120,11,3,0,8
676,2020-03-02,8,5,0,0,5
676,2020-04-22,7,6,1,0,5
676,2020-06-26,2,2,0,0,2
677,2020-01-22,4,1,0,0,1
677,2020-01-28,10,4,1,0,3
677,2020-02-11,17,3,0,0,3
677,2020-04-02,6,1,0,0,1
680,2020-01-12,10,3,0,2,1
680,2020-01-20,6,1,0,0,1
680,2020-01-22,12,4,0,0,4
680,2020-03-03,13,4,1,0,3
680,2020-03-08,7,4,0,0,4
680,2020-03-15,7,5,0,0,5
680,2020-03-16,4,2,0,0,2
680,2020-03-18,1,1,0,0,1
680,2020-05-09,3,3,0,0,3
680,2020-06-15,14,8,2,0,6
683,2020-01-05,12,7,2,0,5
683,2020-01-07,12,7,3,0,4
683,2020-01-09,9,5,1,0,4
683,2020-01-20,3,2,0,0,2
683,2020-02-04,15,8,0,0,8
683,2020-02-11,10,4,1,0,3
683,2020-05-22,20,4,0,0,4
683,2020-06-02,2,5,0,0,5
683,2020-06-06,16,9,0,0,9
687,2020-02-17,4,3,0,0,3
687,2020-02-19,7,2,0,0,2
687,2020-02-25,3,1,0,0,1
687,2020-06-22,2,1,0,0,1
691,2020-04-14,3,1,0,0,1
691,2020-04-21,3,2,0,0,2
691,2020-06-11,4,1,0,0,1
692,2020-01-15,18,2,0,0,2
692,2020-01-17,9,3,0,0,3
692,2020-02-25,5,1,0,0,1
692,2020-02-27,6,2,0,0,2
692,2020-03-11,4,1,0,0,1
692,2020-06-22,3,1,0,0,1
699,2020-02-23,17,4,0,2,2
700,2020-01-18,59,5,0,0,5
700,2020-02-09,1,1,0,0,1
700,2020-02-22,11,4,0,1,3
707,2020-01-14,27,3,0,0,3
707,2020-03-02,6,3,0,0,3
708,2020-02-05,10,3,0,1,2
708,2020-02-20,7,3,0,0,3
708,2020-05-29,10,4,1,0,3
708,2020-06-05,4,1,1,0,0
708,2020-06-15,6,1,0,0,1
712,2020-01-09,6,3,0,0,3
712,2020-01-29,2,1,0,0,1
722,2020-01-18,3,1,0,0,1
722,2020-01-19,7,7,0,0,7
722,2020-02-29,41,17,2,3,12
722,2020-03-07,18,8,0,1,7
722,2020-05-13,6,5,0,0,5
722,2020-06-17,17,8,0,3,5
722,2020-06-24,13,5,0,2,3
726,2020-03-05,4,3,0,0,3
726,2020-03-12,4,2,0,0,2
726,2020-03-16,4,3,0,0,3
734,2020-04-24,2,1,0,0,1
734,2020-06-06,2,2,0,0,2
734,2020-06-09,1,1,0,0,1
740,2020-01-31,7,6,0,0,6
740,2020-03-01,6,4,0,0,4
741,2020-02-05,2,1,0,0,1
741,2020-02-10,8,4,0,1,3
741,2020-02-11,5,1,1,0,0
741,2020-03-10,2,2,0,0,2
744,2020-01-05,11,6,0,0,6
744,2020-01-14,13,4,0,0,4
744,2020-01-27,32,3,0,0,3
744,2020-02-27,6,1,0,0,1
745,2020-01-28,29,1,0,0,1
745,2020-02-11,9,1,0,1,0
746,2020-01-21,3,1,0,0,1
746,2020-02-14,9,2,0,0,2
746,2020-03-01,9,1,0,0,1
746,2020-03-16,2,1,0,0,1
747,2020-01-07,1,1,0,0,1
747,2020-01-21,11,1,0,1,0
749,2020-01-11,1,1,0,0,1
749,2020-03-20,3,3,0,0,3
749,2020-06-05,4,3,0,0,3
749,2020-06-15,4,1,0,0,1
749,2020-06-19,5,4,0,0,4
749,2020-06-24,5,4,0,0,4
750,2020-01-06,7,2,0,0,2
750,2020-03-09,9,5,0,0,5
750,2020-03-18,7,1,1,0,0
751,2020-02-04,5,2,0,0,2
751,2020-03-24,4,3,0,0,3
751,2020-03-25,9,3,1,0,2
751,2020-04-17,4,3,0,0,3
751,2020-05-06,2,1,0,0,1
751,2020-06-08,8,5,1,0,4
751,2020-06-12,2,1,0,0,1
751,2020-06-16,11,3,0,1,2
751,2020-06-21,10,4,0,0,4
752,2020-01-02,7,1,0,0,1
752,2020-01-05,9,1,0,0,1
752,2020-03-11,6,1,0,0,1
752,2020-04-17,4,1,0,0,1
752,2020-05-06,4,3,0,0,3
752,2020-05-16,14,8,2,0,6
752,2020-05-30,16,5,0,1,4
752,2020-06-08,5,3,0,1,2
757,2020-01-16,15,9,1,0,8
757,2020-01-20,13,7,1,0,6
757,2020-01-23,16,13,0,0,13
757,2020-01-24,9,6,0,0,6
757,2020-02-14,11,10,0,0,10
758,2020-01-19,3,4,0,0,4
758,2020-06-17,5,4,0,0,4
758,2020-06-24,3,3,0,0,3
758,2020-06-26,8,6,0,0,6
760,2020-01-07,2,2,0,0,2
760,2020-01-10,7,4,0,0,4
760,2020-01-11,10,6,0,2,4
760,2020-02-20,88,6,0,1,5
760,2020-03-04,8,4,1,0,3
760,2020-03-09,7,4,0,0,4
760,2020-05-18,1,1,0,0,1
761,2020-01-27,4,1,0,0,1
761,2020-01-29,3,1,1,0,0
761,2020-03-10,6,4,0,0,4
761,2020-04-15,2,1,0,0,1
761,2020-04-17,1,1,0,0,1
763,2020-01-15,12,9,0,0,9
763,2020-01-20,9,6,0,0,6
763,2020-02-04,8,7,0,0,7
763,2020-02-23,13,10,3,0,7
763,2020-02-26,5,3,0,0,3
763,2020-02-29,6,6,0,0,6
763,2020-05-20,4,4,0,0,4
763,2020-05-24,10,11,4,0,7
763,2020-05-29,3,1,0,0,1
763,2020-06-01,5,2,0,0,2
763,2020-06-07,4,4,1,0,3
763,2020-06-13,6,5,0,0,5
763,2020-06-19,8,7,0,0,7
764,2020-01-21,9,3,1,0,2
764,2020-02-13,14,3,0,0,3
764,2020-02-26,14,2,0,0,2
766,2020-01-12,1,1,0,0,1
766,2020-03-06,4,2,0,0,2
769,2020-01-07,9,3,0,0,3
769,2020-01-13,11,4,0,0,4
769,2020-02-12,13,6,0,0,6
769,2020-02-24,27,16,4,2,11
773,2020-01-07,2,2,0,0,2
773,2020-01-18,7,7,1,0,6
773,2020-01-19,4,3,0,0,3
773,2020-02-05,5,1,0,0,1
773,2020-03-02,4,1,0,0,1
773,2020-03-03,4,3,0,0,3
773,2020-06-18,1,1,0,0,1
777,2020-02-13,16,11,1,3,7
777,2020-02-20,90,2,0,0,2
782,2020-01-09,6,2,0,0,2
782,2020-01-11,14,2,0,0,2
782,2020-01-12,13,2,0,1,2
782,2020-02-16,7,1,0,0,1
782,2020-02-26,6,5,0,0,5
782,2020-04-25,2,2,0,0,2
782,2020-05-07,4,2,0,0,2
786,2020-06-06,18,6,0,0,6
786,2020-06-08,13,5,0,0,5
786,2020-06-13,3,1,0,0,1
786,2020-06-23,10,4,1,0,3
788,2020-02-05,8,3,0,0,3
788,2020-02-11,6,1,0,0,1
788,2020-03-30,1,1,0,0,1
788,2020-06-05,1,1,0,0,1
789,2020-01-02,5,3,0,1,2
789,2020-03-22,16,4,0,1,3
789,2020-04-12,8,5,1,0,4
789,2020-04-20,2,3,0,0,3
789,2020-04-28,1,1,0,0,1
789,2020-05-21,11,4,0,0,4
789,2020-05-23,4,2,1,0,1
789,2020-06-03,3,1,0,0,1
791,2020-01-17,7,2,0,0,2
791,2020-01-30,7,1,0,0,1
791,2020-02-05,6,3,1,0,2
791,2020-02-26,3,1,0,0,1
791,2020-03-05,2,1,0,0,1
791,2020-03-07,12,6,1,1,4
791,2020-05-09,10,1,0,0,1
791,2020-05-31,2,4,0,0,4
791,2020-06-27,17,1,0,0,1
793,2020-02-03,8,3,1,0,2
793,2020-04-22,1,1,0,0,1
795,2020-02-04,18,10,2,0,8
795,2020-02-11,17,10,0,0,10
795,2020-06-02,7,3,0,0,3
796,2020-02-07,5,2,0,0,2
796,2020-02-26,1,1,0,0,1
796,2020-03-14,3,1,0,0,1
801,2020-01-25,20,15,1,0,14
801,2020-05-11,6,6,1,0,5
803,2020-01-25,21,7,0,1,6
803,2020-02-15,2,1,0,0,1
803,2020-02-26,7,4,1,0,3
803,2020-04-17,15,6,1,0,5
803,2020-05-07,9,1,0,0,1
804,2020-01-03,6,2,0,0,2
804,2020-01-31,3,1,0,0,1
804,2020-03-08,14,6,1,0,5
804,2020-05-19,16,8,0,0,8
804,2020-06-04,9,5,0,0,5
804,2020-06-12,10,7,0,0,7
805,2020-01-05,11,8,2,0,6
805,2020-01-06,10,6,1,0,5
805,2020-01-18,14,2,0,0,2
805,2020-02-08,16,2,0,0,2
805,2020-06-11,4,2,0,0,2
808,2020-02-19,12,2,0,0,2
811,2020-02-20,4,1,0,0,1
811,2020-05-19,4,2,0,0,2
811,2020-06-08,6,5,0,0,5
811,2020-06-18,4,4,0,1,3
812,2020-01-30,34,2,0,0,2
812,2020-02-13,4,2,0,0,2
812,2020-02-23,5,2,1,0,1
812,2020-06-08,1,1,0,0,1
813,2020-05-13,6,2,0,0,2
813,2020-06-12,7,2,0,0,2
813,2020-06-26,1,1,0,0,1
819,2020-01-02,13,1,0,0,1
819,2020-04-01,3,1,0,0,1
819,2020-05-13,5,1,0,0,1
822,2020-01-09,11,5,1,1,3
822,2020-01-16,6,2,0,0,2
823,2020-01-06,4,2,0,0,2
823,2020-02-06,7,2,0,0,2
823,2020-03-16,3,1,0,0,1
823,2020-04-18,6,5,0,0,5
823,2020-05-08,7,1,0,0,1
824,2020-01-11,19,3,0,0,3
824,2020-01-15,1,1,0,0,1
824,2020-01-16,11,7,0,1,6
824,2020-04-03,5,4,0,1,3
824,2020-04-13,8,6,2,0,4
824,2020-04-15,8,4,2,0,2
824,2020-04-26,24,14,1,1,12
824,2020-04-29,7,4,0,0,4
824,2020-05-24,4,7,0,1,6
824,2020-06-21,7,5,1,2,2
825,2020-01-07,11,2,0,0,2
825,2020-01-28,349,8,0,0,8
825,2020-01-31,10,2,0,0,2
825,2020-02-07,12,3,0,0,3
825,2020-02-09,29,11,2,0,9
825,2020-04-08,1,1,0,0,1
825,2020-04-19,7,2,0,0,2
825,2020-05-07,1,1,0,0,1
825,2020-06-21,1,1,0,0,1
832,2020-01-14,19,3,0,1,2
832,2020-03-06,9,3,0,0,3
832,2020-03-10,4,3,1,0,2
832,2020-03-20,1,1,0,0,1
832,2020-06-08,2,1,0,1,0
833,2020-02-19,4,2,0,0,2
833,2020-03-11,6,1,0,0,1
834,2020-01-20,6,1,0,0,1
834,2020-01-21,40,3,2,0,1
834,2020-02-03,12,1,0,0,1
834,2020-02-07,4,1,0,0,1
834,2020-03-04,11,1,0,0,1
834,2020-03-09,6,3,0,0,3
834,2020-05-13,16,2,0,0,2
834,2020-05-23,11,5,2,0,3
834,2020-06-04,20,1,0,0,1
834,2020-06-08,13,2,0,0,2
839,2020-01-13,39,6,2,0,4
839,2020-02-22,9,4,0,0,4
839,2020-02-28,12,5,0,0,5
839,2020-03-17,5,2,0,0,2
839,2020-04-07,1,1,1,0,0
839,2020-06-12,6,4,0,1,3
840,2020-01-23,6,3,0,0,3
840,2020-02-19,5,1,0,0,1
840,2020-03-13,4,1,0,0,1
840,2020-04-26,1,1,0,0,1
840,2020-05-08,4,2,0,0,2
840,2020-05-15,5,2,0,0,2
841,2020-02-13,19,9,0,3,6
843,2020-03-12,5,3,0,0,3
844,2020-01-04,2,1,0,0,1
844,2020-01-15,5,1,0,0,1
844,2020-01-26,11,6,0,0,6
844,2020-02-07,4,1,0,0,1
844,2020-02-29,16,6,0,1,5
846,2020-02-01,33,9,1,1,7
846,2020-02-14,24,5,1,0,4
846,2020-02-21,61,13,1,0,12
846,2020-02-29,34,17,0,0,17
846,2020-03-07,40,14,1,0,13
846,2020-03-15,7,3,0,0,3
846,2020-04-05,6,6,0,0,6
846,2020-05-05,3,2,0,0,2
846,2020-05-15,4,4,0,0,4
849,2020-01-06,7,6,1,0,5
849,2020-02-05,14,8,1,0,7
849,2020-02-21,2,1,0,0,1
849,2020-03-27,1,1,0,0,1
850,2020-01-12,58,5,1,0,4
850,2020-01-18,11,2,0,1,1
850,2020-03-14,4,1,0,0,1
852,2020-06-26,3,2,1,0,1
855,2020-01-28,10,6,0,0,6
855,2020-02-07,1,1,0,0,1
855,2020-02-08,2,1,0,0,1
855,2020-06-24,2,4,0,0,4
858,2020-06-25,4,3,0,0,2
858,2020-06-28,2,2,0,0,2
859,2020-01-28,24,5,0,1,4
859,2020-02-18,18,11,0,2,9
859,2020-02-20,8,7,1,0,6
859,2020-03-12,5,4,0,0,4
859,2020-06-19,5,3,0,0,3
859,2020-06-21,8,6,0,0,6
861,2020-01-11,10,4,0,0,4
861,2020-02-16,10,2,0,0,2
861,2020-03-16,3,3,0,0,3
864,2020-02-03,10,2,0,0,2
864,2020-02-24,19,1,0,1,0
864,2020-03-03,11,4,0,0,4
864,2020-05-04,7,3,0,1,2
864,2020-05-16,8,5,0,0,5
864,2020-06-18,19,3,1,0,2
870,2020-01-01,354,23,3,9,11
870,2020-02-08,5,1,0,0,1
870,2020-04-06,4,4,0,0,4
870,2020-05-27,19,6,0,0,6
871,2020-02-15,5,3,0,0,3
875,2020-01-24,6,2,0,0,2
875,2020-02-03,7,1,0,0,1
875,2020-03-05,6,2,0,0,2
875,2020-03-09,8,1,0,0,1
875,2020-03-24,4,3,1,0,2
875,2020-04-20,4,1,0,0,1
877,2020-01-14,6,2,0,0,2
877,2020-02-15,11,5,0,0,5
877,2020-02-19,5,2,0,1,1
877,2020-02-22,6,5,1,0,4
877,2020-02-29,18,13,2,1,10
877,2020-05-15,9,6,0,0,6
877,2020-06-08,8,6,1,1,4
884,2020-01-04,9,3,1,0,2
884,2020-04-13,2,1,0,0,1
884,2020-05-15,5,1,1,0,0
884,2020-05-16,2,2,0,0,2
884,2020-05-23,13,2,0,0,2
889,2020-06-05,7,3,2,0,1
889,2020-06-17,22,1,1,0,0
890,2020-01-29,39,8,0,0,8
890,2020-02-18,6,5,0,0,5
890,2020-02-26,5,4,0,0,4
892,2020-01-18,48,4,0,0,4
892,2020-02-05,50,1,1,0,0
892,2020-02-15,35,1,0,0,1
892,2020-03-06,42,6,0,1,5
892,2020-03-26,3,1,0,0,1
892,2020-03-31,13,7,1,0,6
892,2020-04-08,12,8,2,0,6
892,2020-04-29,3,1,0,0,1
892,2020-04-30,21,12,1,0,11
892,2020-05-04,11,5,0,0,5
892,2020-05-09,55,8,1,1,6
892,2020-06-04,11,2,0,0,2
892,2020-06-11,15,2,0,0,2
896,2020-03-19,1,1,0,0,1
896,2020-05-09,6,2,0,0,2
897,2020-01-16,3,3,1,0,2
897,2020-02-01,11,8,1,2,5
898,2020-01-26,10,1,0,0,1
898,2020-01-27,1,1,0,0,1
898,2020-03-02,2,1,1,0,0
898,2020-03-03,2,2,1,0,1
898,2020-04-07,2,1,0,0,1
898,2020-05-28,1,1,0,0,1
898,2020-06-05,8,2,0,0,2
898,2020-06-13,24,1,0,0,1
899,2020-04-14,5,1,0,0,1
900,2020-01-02,3,1,0,0,1
900,2020-01-09,7,2,0,0,2
900,2020-01-14,4,1,0,0,1
900,2020-03-14,11,7,1,0,6
901,2020-01-05,5,4,0,0,4
901,2020-02-09,5,1,0,1,0
901,2020-02-11,3,2,0,0,2
901,2020-02-18,9,5,0,1,4
902,2020-02-07,5,3,0,0,3
902,2020-02-28,13,12,0,0,12
902,2020-03-11,4,3,0,0,3
906,2020-03-25,1,1,0,0,1
908,2020-01-26,3,1,0,0,1
908,2020-05-18,1,1,0,0,1
910,2020-01-17,3,2,0,0,2
910,2020-01-21,4,3,0,1,2
910,2020-02-08,6,5,0,0,5
910,2020-02-18,1,1,0,0,1
910,2020-04-14,2,1,0,0,1
